id_test1,id_test2,pos_test1,pos_test2,diff_pos,cos_sim
4611,2961,t11,t30,19,-0.38644237787885266
4611,2962,t11,t31,20,-0.4463730549267315
4611,512,t11,t32,21,-0.6483364019454777
4611,2956,t11,t33,22,-0.3772363761702842
4611,2963,t11,t34,23,-0.44993992494512547
4611,2752,t11,t35,24,-0.4782251843677429
513,541,t12,t13,1,0.5563529073401063
513,2751,t12,t14,2,0.3844341089897306
513,4691,t12,t15,3,0.37110330156461857
513,2753,t12,t16,4,0.30436476315543176
513,2754,t12,t17,5,0.2010338980275979
513,2755,t12,t18,6,0.11512038687268818
513,2757,t12,t19,7,-0.5951258821972008
513,506,t12,t20,8,-0.674612379086747
513,2959,t12,t21,9,-0.7649372724077523
513,509,t12,t22,10,-0.8058578563563136
513,2960,t12,t23,11,-0.7850491341962826
513,2955,t12,t24,12,-0.7742402806777903
513,2958,t12,t25,13,-0.86821613245867
513,511,t12,t26,14,-0.8093608726665191
513,1128,t12,t27,15,-0.84932423231467
513,4821,t12,t28,16,-0.6115992583585237
513,2957,t12,t29,17,-0.8608658689869431
513,2961,t12,t30,18,-0.8616253110257323
513,2962,t12,t31,19,-0.8750796675888577
513,512,t12,t32,20,-0.772370206874389
513,2956,t12,t33,21,-0.8661269377446711
513,2963,t12,t34,22,-0.8867181020945365
513,2752,t12,t35,23,-0.8242793356412426
541,2751,t13,t14,1,0.8068405208210905
541,4691,t13,t15,2,0.8689280863400869
541,2753,t13,t16,3,0.7297038031377674
541,2754,t13,t17,4,0.6492539986579949
541,2755,t13,t18,5,0.6329214198467492
541,2757,t13,t19,6,0.1807317169174157
541,506,t13,t20,7,0.10038227219788871
541,2959,t13,t21,8,-0.3116923057302375
541,509,t13,t22,9,-0.23426028477204017
541,2960,t13,t23,10,-0.4392183467029641
541,2955,t13,t24,11,-0.4909669125169244
541,2958,t13,t25,12,-0.3008382297708396
541,511,t13,t26,13,-0.3050135261220341
541,1128,t13,t27,14,-0.36140474097222064
541,4821,t13,t28,15,-0.07403619848932096
541,2957,t13,t29,16,-0.36355882346483126
541,2961,t13,t30,17,-0.28630541356691075
541,2962,t13,t31,18,-0.32649920553499123
541,512,t13,t32,19,-0.6357877444225398
541,2956,t13,t33,20,-0.26203381168517914
541,2963,t13,t34,21,-0.36254950536128
541,2752,t13,t35,22,-0.4343176417679284
2751,4691,t14,t15,1,0.907996597428503
2751,2753,t14,t16,2,0.9726529481190703
2751,2754,t14,t17,3,0.9084280933467269
2751,2755,t14,t18,4,0.8829554604031395
2751,2757,t14,t19,5,0.3547855737845209
2751,506,t14,t20,6,0.24719776467422985
2751,2959,t14,t21,7,-0.1840321898599588
2751,509,t14,t22,8,-0.1520519523310532
2751,2960,t14,t23,9,-0.35243388076376186
2751,2955,t14,t24,10,-0.4034301389987462
2751,2958,t14,t25,11,-0.2039006928895977
2751,511,t14,t26,12,-0.22273407151261185
2751,1128,t14,t27,13,-0.3104785935432416
2751,4821,t14,t28,14,-0.17149327356049135
2751,2957,t14,t29,15,-0.2637984437724433
2751,2961,t14,t30,16,-0.23947007936312992
2751,2962,t14,t31,17,-0.256861403903156
2751,512,t14,t32,18,-0.6392638637587542
2751,2956,t14,t33,19,-0.1463838613783886
2751,2963,t14,t34,20,-0.30309745916464237
2751,2752,t14,t35,21,-0.37824230019184
4691,2753,t15,t16,1,0.8904864932122727
4691,2754,t15,t17,2,0.8506177726532623
4691,2755,t15,t18,3,0.815104582363784
4691,2757,t15,t19,4,0.3737472639382406
4691,506,t15,t20,5,0.29984239179974287
4691,2959,t15,t21,6,-0.17562545207075572
4691,509,t15,t22,7,-0.052073067330666696
4691,2960,t15,t23,8,-0.3199645962724165
4691,2955,t15,t24,9,-0.3637789271746948
4691,2958,t15,t25,10,-0.1464017728662443
4691,511,t15,t26,11,-0.11468783553495253
4691,1128,t15,t27,12,-0.2434367435059996
4691,4821,t15,t28,13,0.0834798059008857
